the_geom,Serial,stopID,stopCode,stopName,Lon,Lat,Shelby County Zip Codes,Memphis 3.0 Focus Anchors Buffers,Memphis 3.0 Planning Districts,City Council Districts
POINT (-89.96737399999995 35.123687000000075),315,3496,CENFENEN,CENTRAL AVE@FENWICK RD,-89.967374,35.123687,10,,9,4
POINT (-90.01394999999997 35.09758100000005),486,4603,CINMENSN,CINCINATTI@MENAGER,-90.01395,35.097581,6,,14,5
POINT (-90.07548699999995 35.051904000000036),2530,5899,ROCGLESM,ROCHESTER@GLENCO,-90.075487,35.051904,9,,13,6
POINT (-89.88982899999996 35.15211100000005),2938,4050,SUMOL1WM,OLD SUMMER@SUMMER,-89.889829,35.152111,20,,6,4
POINT (-90.01391399999994 35.09447700000004),489,4725,CINVALNN,CINCINNATTI@VALSE,-90.013914,35.094477,6,,14,5
POINT (-90.01244399999996 35.078103000000056),2717,4687,SPAALCSN,SPARKS@ALCY,-90.012444,35.078103,6,,14,5
POINT (-89.95421199999998 35.14945800000004),2924,4081,SUMMALWF,SUMMER AVE@MALCOMB,-89.954212,35.149458,11,,6,4
POINT (-89.97146999999995 35.17443300000008),446,4577,CHESTAEF,CHELSEA AVE@STANDRIDGE,-89.97147,35.174433,8,,7,7
POINT (-89.83102999999994 35.04145500000004),2502,7221,RIVBIRNF,RIVERDALE@BIRCH RUN,-89.83103,35.041455,21,,10,2
POINT (-90.04545299999995 35.156867000000034),3007,629,THIAUCSN,THIRD@AUCTION,-90.045453,35.156867,5,,7,7
POINT (-89.93008199999997 35.08663900000005),3507,2812,WILWATEM,NEW WILLOW RD@WATSON RD,-89.930082,35.086639,10,,9,5
POINT (-89.80955499999999 35.09326400000003),2277,1998,POPGERWM,POPLAR@GERMANTOWN,-89.809555,35.093264,30,,,
POINT (-90.04354999999998 35.11574800000005),1739,4356,MCLSLAEN,MCLEMORE AVE@SLAUDERDALE ST,-90.04355,35.115748,6,3,14,6
POINT (-90.02224799999999 35.21027200000003),608,1272,DELBASWN,DELLWOOD@BASKIN,-90.022248,35.210272,23,,1,7
POINT (-89.98998899999998 35.21164900000008),3227,6663,UNIWILNF,UNIVERSITY@WILLOW WOOD,-89.989989,35.211649,23,,1,7
POINT (-89.99246699999998 35.16008800000003),1294,3751,JACSHEWN,JACKSON AVE@SHERIDAN,-89.992467,35.160088,7,,8,7
POINT (-89.76065299999999 35.203791000000024),801,957,FLESTASF,FLETCHER TRACE PKWY@STAGE RD,-89.760653,35.203791,34,,3,1
POINT (-90.09895899999998 35.030155000000036),3464,5611,WEAWESNN,WEAVER@WESTERN PARK,-90.098959,35.030155,9,,13,6
POINT (-89.93130399999995 35.08548900000005),969,2808,GETELLSM,GETWELL RD@ELLISTON,-89.931304,35.085489,10,,5,5
POINT (-90.05555799999996 35.09751000000006),3010,5071,THIBELNF,THIRD@BELZ,-90.055558,35.09751,9,,14,6
POINT (-89.96369099999998 35.02669700000007),2971,6077,SWIRUNNM,SWINNEA@RUNWAY DR,-89.963691,35.026697,17,,11,3
POINT (-90.00168299999996 35.053645000000074),3526,1703,WINCAZWN,WINCHESTER@CAZASSA,-90.001683,35.053645,15,,12,3
POINT (-89.97725199999996 35.13607300000007),105,3355,ALIMADNF,ALICIA DR@MADISON AVE,-89.977252,35.136073,11,,8,4
POINT (-89.99304399999994 35.09163200000006),652,4634,DUNCUSEM,DUNN@CUSTER,-89.993044,35.091632,13,,14,5
POINT (-89.97644299999996 35.15451800000005),1917,3615,NHOPERNN,N HOLLYWOOD@PERSHING AVE,-89.976443,35.154518,11,,6,4
POINT (-89.95148699999999 35.115361000000064),2682,3478,SOUALEWN,SOUTHERN@ALEXANDER ST,-89.951487,35.115361,10,,9,4
POINT (-89.96528299999994 35.11547200000007),2697,3442,SOUHAYEF,SOUTHERN AVE@HAYNES ST,-89.965283,35.115472,10,,9,5
POINT (-89.92408099999994 35.05145600000003),3545,1766,WINGEREF,WINCHESTER@GERONIMO CT,-89.924081,35.051456,17,,11,3
POINT (-89.94088599999998 35.07676800000007),131,2655,AMETRAEM,AMERICAN WAY@TRANSIT CENTER,-89.940886,35.076768,17,,11,5
